name,method,seed,role,target_minutes,actual_minutes,updates,distinct_high,distinct_low,val_ap,test_ap,val_high_nll,test_auc,p1000,parent_relative_ap,spr_spearman,spr_ci_low,spr_ci_high,spr_binding_auc,spr_quantitative_n,spr_parent_relative_spearman,entropy,site_entropy,mean_hamming,unique,max_frequency,not_in_train,heldout_matches,heldout_high,test_matches,test_unique_matches,test_match_high,outside_library,kl_parent,eligible,selected
dpo_seed20260918_budget180,dpo,20260918.0,raw_budget,3.0,3.0006443133036287,741.0,47424.0,44263.0,0.9736232968851843,0.973634955387675,3.1998632429257508,0.9844516594314826,1.0,0.9508918591012141,0.34089848977188475,0.19949029116378053,0.4735060946404376,,152,0.0704852965575014,8.522995830392837,15.119705345880314,6.184087628762876,0.4203,0.0069,0.4359,1756,1.0,821,338,1.0,0.2603,3.8131590254306795,False,False
dpo_seed20260918_budget1800,dpo,20260918.0,raw_budget,30.0,30.000644274648074,11535.0,120477.0,113530.0,0.9713260476581057,0.9708130943381014,4.623964572975853,0.9827362871283902,1.0,0.9545388688365378,0.29443796122871024,0.15235947366349495,0.4366761950985214,,152,0.021882170824229035,6.193879308581352,14.054792315565809,6.311420362036204,0.1892,0.1175,0.4688,2875,1.0,1945,160,1.0,0.18130000000000002,5.7136990369081495,False,False
dpo_seed20260918_budget360,dpo,20260918.0,raw_budget,6.0,6.002176854960125,1941.0,120477.0,87440.0,0.9723703737811131,0.971977083197702,3.6233222589384955,0.9833154350597226,1.0,0.9518656797065256,0.2938399476589062,0.15175099262088143,0.4265493457548385,,152,-0.030790864404109584,8.160981627559662,14.869172766803839,6.287016101610161,0.372,0.0152,0.4409,1769,1.0,793,319,1.0,0.264,4.090011542701721,False,False
dpo_seed20260918_budget600,dpo,20260918.0,raw_budget,10.0,10.002436747996049,3540.0,120477.0,104547.0,0.9734816803943355,0.9735596858334227,3.854187956983507,0.9842066219007229,1.0,0.9549602881720695,0.2973460157881573,0.15138408564225442,0.4409355048552001,,152,0.032349116905998926,7.726686101579666,14.388207949466704,6.195895669566957,0.3084,0.0126,0.4515,1795,1.0,800,275,1.0,0.272,4.419529042863846,False,False
dpo_seed20260919_budget1200,dpo,20260919.0,raw_budget,20.0,20.0013112468719,7539.0,120477.0,113530.0,0.9747938936534875,0.9743395072280615,4.3454666766990355,0.9847965750400156,1.0,0.960247497675453,0.31482509812842924,0.169276345653562,0.4624173234002835,,152,0.08250366070036287,6.572382071304322,13.36133695399295,6.0490357235723575,0.2039,0.0301,0.442,1633,1.0,854,195,1.0,0.27869999999999995,5.132800274181366,False,False
dpo_seed20260919_budget180,dpo,20260919.0,raw_budget,3.0,3.0018190900166792,742.0,47488.0,44320.0,0.9743352683579858,0.9736115892370074,3.1664449526295826,0.9843418044680581,1.0,0.9529393684226071,0.32027898188504195,0.1689027871540657,0.4633877804377953,,152,0.015579107798494599,8.363729876470567,14.54263732055946,6.0287518151815185,0.4022,0.0184,0.4317,1956,1.0,973,320,1.0,0.23609999999999998,3.8132821094036102,False,False
dpo_seed20260919_budget1800,dpo,20260919.0,raw_budget,30.0,30.001935531616187,11539.0,120477.0,113530.0,0.974192435896555,0.9732875552947572,4.559677081689413,0.984220662330374,1.0,0.9603674888585508,0.3753116077988073,0.22694744674263884,0.5182409885445475,,152,0.18002771366400344,6.640898698425293,13.812852521958987,6.22757803780378,0.1888,0.0243,0.3903,1866,1.0,871,190,1.0,0.2037,5.325638202857971,False,False
dpo_seed20260919_budget360,dpo,20260919.0,raw_budget,6.0,6.000502335357664,1941.0,120477.0,87450.0,0.9747688104218972,0.9738036121420585,3.5001252939492224,0.9843873728239649,1.0,0.9530803117466187,0.3233032219380509,0.18094841773770706,0.4665100983421504,,152,-0.006321857737928275,7.976882221698761,14.25991217732794,6.0337067706770675,0.3439,0.0104,0.4254,1819,1.0,909,307,1.0,0.24350000000000005,4.147387988567353,False,False
dpo_seed20260919_budget600,dpo,20260919.0,raw_budget,10.0,10.001250891876232,3540.0,120477.0,104520.0,0.9735697106363708,0.9722900206588158,3.8001794970642173,0.9835443400972298,1.0,0.9540943695971535,0.36072349391598796,0.21138814653722,0.5023495846621261,,152,0.08928171736154164,7.563265353870392,14.318927113323753,6.257991319131913,0.2963,0.0151,0.4362,1798,1.0,886,278,1.0,0.25639999999999996,4.405061215209961,False,False
dpo_seed20260920_budget1200,dpo,20260920.0,raw_budget,20.0,20.00070822397869,7537.0,120477.0,113530.0,0.9733912498919413,0.9729888140726568,4.162779466779566,0.9838722886594583,1.0,0.9579308881633317,0.4123696544144631,0.2676353267714515,0.5492999385060867,,152,0.21521654072147176,6.822512007021904,14.640433161103672,6.547371817181718,0.2269,0.041,0.4575,1726,1.0,706,189,1.0,0.28490000000000004,5.252544011807442,False,False
dpo_seed20260920_budget180,dpo,20260920.0,raw_budget,3.0,3.001610684967043,741.0,47424.0,44260.0,0.9715497066090855,0.9715433545634032,3.249924613555833,0.9832079576745362,1.0,0.9505716885487574,0.38395375818757527,0.24394510236422062,0.5127291132893655,,152,0.16556261971554376,8.55612994904518,14.544342729930058,6.093093749374938,0.4386,0.013,0.4418,1674,1.0,749,370,1.0,0.2744,3.7394168759822843,False,False
dpo_seed20260920_budget1800,dpo,20260920.0,raw_budget,30.0,30.000506515248635,11535.0,120477.0,113530.0,0.9735274816857432,0.9734654063389825,4.726449326312512,0.9840638381934032,1.0,0.9608754344993721,0.35073325007986184,0.1969745399359967,0.49664806826753555,,152,0.1360087890958288,6.118442459011078,14.56668995096728,6.582657425742574,0.1907,0.0742,0.4669,1603,1.0,966,157,1.0,0.3066,6.476991482830048,False,False
dpo_seed20260920_budget360,dpo,20260920.0,raw_budget,6.0,6.001766161092121,1940.0,120477.0,87385.0,0.9730566704293292,0.9724937978395587,3.5379293725045713,0.9836603202475691,1.0,0.9526167073427041,0.37735339698713827,0.23277249299420175,0.5058447386348037,,152,0.11003278823374135,7.958587413930893,14.397145905790484,6.217483808380838,0.3427,0.0155,0.4205,1926,1.0,784,301,1.0,0.2279,4.033679952669144,False,False
dpo_seed20260920_budget600,dpo,20260920.0,raw_budget,10.0,10.001970655059836,3539.0,120477.0,104507.0,0.9722907383567494,0.9713986553335671,3.6965424878011324,0.9828165412977273,1.0,0.95277119811901,0.4008023633642538,0.2606661524420474,0.531567096006645,,152,0.1081157275899696,7.8292016607284545,14.71289132199888,6.36188596859686,0.3332,0.0126,0.4524,1831,1.0,756,268,1.0,0.2693,4.380426337146759,False,False
piggen_zeroshot,zero_shot,,initial,0.0,0.0,,,,0.46958357125500216,0.47165615897963165,3.1714303624278193,0.6399677405991727,0.735,,0.1410184342005871,-0.002430117053352933,0.28955948096964784,,152,,23.71488567943573,26.98418315078366,9.1536799279928,0.9992,0.0003,1.0,0,,0,0,,1.0,0.0,True,False
policy_scratch_seed20260918,initial_sft_scratch,20260918.0,initial,0.0,0.0,,,,0.9456519973295835,0.9462934831726149,1.5414808947003493,0.963946696075461,1.0,,0.5362199733310763,0.41710102605618116,0.6446473727872207,,152,,15.419473159790039,19.88485571432672,7.554919891989199,0.9784,0.0007,0.7817,799,0.9949937421777222,382,365,0.9921465968586387,0.7018,0.0,True,False
policy_scratch_seed20260919,initial_sft_scratch,20260919.0,initial,0.0,0.0,,,,0.9482174052801006,0.9492715359245117,1.5382236070095934,0.9661192828678368,1.0,,0.5672500431631076,0.45306775162292395,0.6686178768910906,,152,,15.392182075881959,19.881019430602183,7.543965336533653,0.9811,0.0005,0.7733,858,0.9965034965034965,444,424,0.9954954954954955,0.6875,0.0,True,False
policy_scratch_seed20260920,initial_sft_scratch,20260920.0,initial,0.0,0.0,,,,0.9462722016318152,0.9468185992492946,1.5427067552858593,0.9644171585904874,0.999,,0.5846351519424102,0.4696078732931315,0.6880559543252825,,152,,15.450662032032014,19.767387081194197,7.509077167716772,0.9815,0.0004,0.7873,784,0.9948979591836735,374,367,0.9946524064171123,0.7089,0.0,True,False
policy_sft_seed20260918,initial_sft_sft,20260918.0,initial,0.0,0.0,,,,0.9658736980393379,0.9670625812229736,1.491963774712336,0.9789645255262389,1.0,,0.5453456604062857,0.4324701590307272,0.6529070221876192,,152,,14.284942958450317,19.74524776005965,7.506364296429643,0.9763,0.0004,0.6776,991,0.9939455095862765,507,488,0.9940828402366864,0.5785,0.0,True,False
policy_sft_seed20260919,initial_sft_sft,20260919.0,initial,0.0,0.0,,,,0.9677170590271481,0.9687505294660408,1.4888333273676304,0.979826190007211,1.0,,0.5560962357811627,0.43292234367379967,0.6639578073469455,,152,,14.462975819206237,19.874562189003093,7.551215201520152,0.9791,0.0006,0.6858,884,0.994343891402715,413,402,0.9903147699757869,0.5973999999999999,0.0,True,False
policy_sft_seed20260920,initial_sft_sft,20260920.0,initial,0.0,0.0,,,,0.9669031855090595,0.9676403681972561,1.4867413171171802,0.9792759721488045,1.0,,0.5385778554063035,0.40948960521929295,0.6499804349426652,,152,,14.558895641708373,19.65961024417074,7.471702450245025,0.981,0.0004,0.7067,918,0.9967320261437909,467,446,1.0,0.6149,0.0,True,False
